| Epoch: 6100 | Train Accuracy: 1.0 | Train Loss: 0.0011342997895553708 | Test Accuracy: 0.2592012584209442 | Test Loss: 8.101608276367188 |
| Epoch: 6200 | Train Accuracy: 1.0 | Train Loss: 0.0010759426513686776 | Test Accuracy: 0.26065555214881897 | Test Loss: 8.039375305175781 |
| Epoch: 6300 | Train Accuracy: 1.0 | Train Loss: 0.0010199800599366426 | Test Accuracy: 0.26155051589012146 | Test Loss: 7.9829277992248535 |
| Epoch: 6400 | Train Accuracy: 1.0 | Train Loss: 0.0009668087586760521 | Test Accuracy: 0.26356416940689087 | Test Loss: 7.928766250610352 |
| Epoch: 6500 | Train Accuracy: 1.0 | Train Loss: 0.0009169919649139047 | Test Accuracy: 0.26412349939346313 | Test Loss: 7.876711368560791 |
| Epoch: 6600 | Train Accuracy: 1.0 | Train Loss: 0.0008694810676388443 | Test Accuracy: 0.26546594500541687 | Test Loss: 7.825931549072266 |
| Epoch: 6700 | Train Accuracy: 1.0 | Train Loss: 0.0008244711207225919 | Test Accuracy: 0.26792705059051514 | Test Loss: 7.779788494110107 |
| Epoch: 6800 | Train Accuracy: 1.0 | Train Loss: 0.0007818122394382954 | Test Accuracy: 0.2683745324611664 | Test Loss: 7.7310566902160645 |
| Epoch: 6900 | Train Accuracy: 1.0 | Train Loss: 0.0007413647253997624 | Test Accuracy: 0.26982882618904114 | Test Loss: 7.6823410987854 |
| Epoch: 7000 | Train Accuracy: 1.0 | Train Loss: 0.0007029438856989145 | Test Accuracy: 0.2713949978351593 | Test Loss: 7.631659030914307 |
| Epoch: 7100 | Train Accuracy: 1.0 | Train Loss: 0.000666735228151083 | Test Accuracy: 0.27206623554229736 | Test Loss: 7.5785908699035645 |
| Epoch: 7200 | Train Accuracy: 1.0 | Train Loss: 0.0006322970148175955 | Test Accuracy: 0.27284932136535645 | Test Loss: 7.526112079620361 |
| Epoch: 7300 | Train Accuracy: 1.0 | Train Loss: 0.0005991818034090102 | Test Accuracy: 0.27486297488212585 | Test Loss: 7.47182559967041 |
| Epoch: 7400 | Train Accuracy: 1.0 | Train Loss: 0.0005679485620930791 | Test Accuracy: 0.27676475048065186 | Test Loss: 7.412384510040283 |
| Epoch: 7500 | Train Accuracy: 1.0 | Train Loss: 0.0005384471151046455 | Test Accuracy: 0.2790021300315857 | Test Loss: 7.3530964851379395 |
| Epoch: 7600 | Train Accuracy: 1.0 | Train Loss: 0.000510792771819979 | Test Accuracy: 0.280232697725296 | Test Loss: 7.290733814239502 |
| Epoch: 7700 | Train Accuracy: 1.0 | Train Loss: 0.00048433319898322225 | Test Accuracy: 0.28258195519447327 | Test Loss: 7.225240707397461 |
| Epoch: 7800 | Train Accuracy: 1.0 | Train Loss: 0.0004591859760694206 | Test Accuracy: 0.28425997495651245 | Test Loss: 7.1537885665893555 |
| Epoch: 7900 | Train Accuracy: 1.0 | Train Loss: 0.0004351253155618906 | Test Accuracy: 0.2876160740852356 | Test Loss: 7.074767589569092 |
| Epoch: 8000 | Train Accuracy: 1.0 | Train Loss: 0.00041224731830880046 | Test Accuracy: 0.2906365394592285 | Test Loss: 6.9878740310668945 |
| Epoch: 8100 | Train Accuracy: 1.0 | Train Loss: 0.0003904857730958611 | Test Accuracy: 0.29186710715293884 | Test Loss: 6.891554355621338 |
| Epoch: 8200 | Train Accuracy: 1.0 | Train Loss: 0.0003698795335367322 | Test Accuracy: 0.295335054397583 | Test Loss: 6.786064147949219 |
| Epoch: 8300 | Train Accuracy: 1.0 | Train Loss: 0.0003502287727314979 | Test Accuracy: 0.29768431186676025 | Test Loss: 6.6705145835876465 |
| Epoch: 8400 | Train Accuracy: 1.0 | Train Loss: 0.0003315150097478181 | Test Accuracy: 0.2998098134994507 | Test Loss: 6.541665077209473 |
| Epoch: 8500 | Train Accuracy: 1.0 | Train Loss: 0.0003134686267003417 | Test Accuracy: 0.30316591262817383 | Test Loss: 6.395888805389404 |
| Epoch: 8600 | Train Accuracy: 1.0 | Train Loss: 0.0002965930325444788 | Test Accuracy: 0.30887123942375183 | Test Loss: 6.239530086517334 |
| Epoch: 8700 | Train Accuracy: 1.0 | Train Loss: 0.0002806173579301685 | Test Accuracy: 0.3132341504096985 | Test Loss: 6.0738301277160645 |
| Epoch: 8800 | Train Accuracy: 1.0 | Train Loss: 0.000265234149992466 | Test Accuracy: 0.3173733055591583 | Test Loss: 5.895071506500244 |
| Epoch: 8900 | Train Accuracy: 1.0 | Train Loss: 0.0002506954479031265 | Test Accuracy: 0.3218480944633484 | Test Loss: 5.701688289642334 |
| Epoch: 9000 | Train Accuracy: 1.0 | Train Loss: 0.00023679176229052246 | Test Accuracy: 0.32923147082328796 | Test Loss: 5.495071887969971 |
| Epoch: 9100 | Train Accuracy: 1.0 | Train Loss: 0.00022336162510327995 | Test Accuracy: 0.33683857321739197 | Test Loss: 5.270966529846191 |
| Epoch: 9200 | Train Accuracy: 1.0 | Train Loss: 0.00021068974456284195 | Test Accuracy: 0.3457881212234497 | Test Loss: 5.030831813812256 |
| Epoch: 9300 | Train Accuracy: 1.0 | Train Loss: 0.00019859385793097317 | Test Accuracy: 0.3589887022972107 | Test Loss: 4.785022258758545 |
| Epoch: 9400 | Train Accuracy: 1.0 | Train Loss: 0.00018716613703873008 | Test Accuracy: 0.3707349896430969 | Test Loss: 4.5340895652771 |
| Epoch: 9500 | Train Accuracy: 1.0 | Train Loss: 0.00017625803593546152 | Test Accuracy: 0.38538986444473267 | Test Loss: 4.27263069152832 |
| Epoch: 9600 | Train Accuracy: 1.0 | Train Loss: 0.00016572979802731425 | Test Accuracy: 0.4016109108924866 | Test Loss: 3.9922802448272705 |
